mp3,title,artist,slength,image
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/559/aktiv-1698886854-uBxD5BMO42.mp3,AKTIV,4URA & VinDon,2:37,https://i1.sndcdn.com/artworks-MAta6tCqg2nfn428-xBYydQ-t500x500.jpg
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/735/1723124218_kxyo2wrwh0_01-Spektrem---Shine-Always-Mirin-Remix-NCS-Release.mp3,Shine (Always Mirin Remix),Always Mirin & Spektrem,2:19,https://i1.sndcdn.com/artworks-WicWJGjzBf9oyNSu-MxhVpg-t500x500.jpg
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/721/different-eyes-1721260856-z2bbseBRrh.mp3,Different Eyes,ANIZYZ & MVSTAFA,1:54,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSg_GFQ5R3VUse0493PwUq15yHI3jU4CIcDSA&s
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/705/stay-focused-1719273661-u2nWojg8WP.mp3,Stay Focused,Artino & Jessee,2:36,https://i1.sndcdn.com/artworks-Ow4e07HhnyWyFyRk-pd7bUQ-t500x500.jpg
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/724/symphony-feat-barmuda-1721692858-m4ZvNrkuSw.mp3,Symphony (feat. Barmuda),Barmuda & Revaeon & Lionis,2:36,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/724/1000x0/symphony-feat-barmuda-1721692855-y1PDzg3Jnt.jpg
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/659/stars-in-the-sky-1712620859-Z5NW7kpyJJ.mp3,Stars in the Sky,BEKSY.,2:30,https://i1.sndcdn.com/artworks-tsz6pDpYjFq3zSHk-FFP2oA-t500x500.jpg
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/734/1722936968_ptBtpCTER8_01-Slippy--Josh-Rubin---Crash-NCS-Release.mp3,Crash,Charlotte Reed & Josh Rubin & Slippy,3:25,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcReXZMGZyTL7KOijYHDx2U_CDi4FFxhRLl-ZQ&s
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/664/help-me-help-you-1713484856-ps8OA7f3pn.mp3,Help Me Help You,Clarx & Shiah Maisel,2:31,https://i1.sndcdn.com/artworks-Pr0S4W69QnCmI8yz-vMRqtg-t500x500.jpg
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/716/worship-1720137668-FHKI9y7zWW.mp3,Worship,Diamond Eyes,4:05,https://i1.sndcdn.com/artworks-YhmcyE4AnwouYHEw-yBZ7Vg-t500x500.jpg
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/700/delta-1718323262-RGGWSkCqe4.mp3,DELTA,DJ FKU,2:52,https://i1.sndcdn.com/artworks-JHBz8KH5cy7O9cBN-28jFCA-t500x500.jpg
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/738/1723718204_7CFlBpXrJX_01-DJ-FKU---EXECUTIONER-NCS-Release.mp3,EXECUTIONER,DJ FKU,1:30,https://i1.sndcdn.com/artworks-6X5AtZWeleKDb3EQ-vjTc9g-t500x500.jpg
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/668/1715334625_3BjiNbkiiH_01-HXDES-DYNAMIS---Kapoeira-Phonk-NCS-Release.mp3,Kapoeira Phonk,DYNAMIS & HXDES,1:32,https://i1.sndcdn.com/artworks-6PDSI46JsHzOXtxy-pguenQ-t240x240.jpg
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/718/1720706190_xbkJYMpNxE_01-Rameses-B--eerie---OFFLINE-NCS-Release.mp3,OFFLINE,eerie & Rameses B,2:39,https://i1.sndcdn.com/artworks-JsSQql0H5sle3yS2-wMMMag-t500x500.jpg
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/725/1724059397_cG4UXu5nHp_01-Egzod-Neoni-Maestro-Chives-Warriyo---Mortals-x-Royalty-Mashup.mp3,Mortals x Royalty Mashup,Egzod & Neoni & Maestro Chives & Warriyo,3:44,https://i1.sndcdn.com/artworks-RZrOHkupGyIfkbsR-x0UHLg-t500x500.jpg
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/717/grow-apart-1720483260-vvTq9bTWmY.mp3,grow apart,Ghostnaps,2:54,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/717/1000x0/1720543849_CgQryprAmK_grow-apart-_shrunk.jpg
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/742/aint-miss-a-call-1724284856-tqZRznMNUU.mp3,DO NOT MISS A CALL,Guy Arthur,2:34,https://i1.sndcdn.com/artworks-ToL89vCHv1y6a3Ou-Fh4I1w-t1080x1080.jpg
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/747/models-1725494457-HAp6uMRH2l.mp3,Models,Hush,2:32,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRAmkRD9CKdzizjdWjimAVXt5daAngF6onvMQ&s
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/726/grave-1721865658-FWsNrvLnXo.mp3,GRAVE,Idle Days & HOWL,3:37,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/726/1000x0/grave-1721865655-Bzhp5RtDMn.jpg
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/701/nostalgia-1718323268-ryc3TL4X2U.mp3,Nostalgia,Johnning & Janji,2:56,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTqX05IXK8Imu41i6uaYqan2vxIF_rpIqE9cA&s
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/630/bass-face-1707825657-Ch1iC2njIm.mp3,Bass Face,Jonth,2:56,https://i1.sndcdn.com/artworks-piZpeSDLJz6cjKQX-GwE5kw-t500x500.jpg
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/715/without-you-feat-justin-j-moore-1720137659-hUNPAfS1IK.mp3,Without You (feat. Justin J. Moore),Justin J. Moore & NIVIRO,3:08,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/715/1000x0/without-you-feat-justin-j-moore-1720137658-6nkGhDz5bM.jpg
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/706/taking-it-slow-1719446455-z0LLg9dkwj.mp3,Taking It Slow,JVNA,2:40,https://i1.sndcdn.com/artworks-L59AZs3kFNSheAiL-VrWfkQ-t500x500.jpg
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/702/1718694973_MCiguD5Pq4_01-Emin-Nilsen--Kamran747---BANDIDO-FUNK-NCS-Release.mp3,BANDIDO FUNK,Kamran747 & Emin Nilsen,2:05,https://i.ytimg.com/vi/t3AtLp5A_WM/maxresdefault.jpg
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/683/comet-1716422457-Vd6pvNXfSt.mp3,Comet,Keepsake & Skybreak,3:50,https://i1.sndcdn.com/artworks-XkzXz7K7Pez9b21W-EJyDIg-t500x500.jpg
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/703/rave-teacher-1718841659-OEJbzrfqO0.mp3,Rave Teacher,KEVU,2:51,https://i1.sndcdn.com/artworks-qKGPbyHf7eSZ3Hpj-ryPaBw-t500x500.jpg
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/723/love-you-anyway-1721347260-oNYrlZiWEI.mp3,Love You (Anyway),LAADS,2:33,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ1b4syhX-9fJ923UwcCqsZt0pCJcda4ybNaA&s
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/733/1722605922_E3174sULx6_01-LXNGVX---Follow-Back-NCS-Release.mp3,Follow Back,LXNGVX,2:04,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSXo9NEVEJuIfVYM0jHTYweCaMCRKtWIXKBdA&s
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/616/pull-me-in-1705626053-rdNP9FbAW5.mp3,Pull Me In,M.I.M.E & Shiah Maisel & Clarx,2:28,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZV3j9Kt-kYChs25FA-NwMwJo-nZt3dQQJiA&s
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/594/favhella-feat-mc-guidanny-1703725263-N9a3Vt873v.mp3,Mass & ANGELPLAYA - FAVHELLA (feat. Mc Guidanny),Mc Guidanny & T,1:56,https://i1.sndcdn.com/artworks-Dzux1wL8kFoGghab-RljUNw-t500x500.jpg
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/737/always-be-1723507256-gamV2XQBUz.mp3,Always Be,Netrum,2:50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTof659RRN1nOou-ay-6jTbAYfqmPQVCuGAPA&s
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/731/my-heart-is-broken-1722297659-UymY5IcFlm.mp3,My Heart Is Broken,NEYVO,3:30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcStdiQpc2N-WyyR7_QaBvqcHH8TduROMLKXnw&s
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/714/bring-me-back-feat-nieulotni-1720051260-IKWWsgpztd.mp3,Bring Me Back (feat. Nieulotni),Nieulotni & Adikop,3:50,https://i1.sndcdn.com/artworks-IoIuijbo3H9rzxvJ-nZoCkQ-t500x500.jpg
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/658/ill-be-there-1712275268-IM77objThy.mp3,I will Be There,NIVIRO,2:14,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSyp-yXke5AghMgAmjXNewH5KEYkfauoe8iGQ&s
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/583/whats-the-problem-1702551656-evxTC7URyG.mp3,What is The Problem,OSKI,2:28,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/583/1000x0/whats-the-problem-1702551653-S6dwHsSBAg.jpg
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/704/get-mucky-1718928063-ps0Bt22Z1V.mp3,GET MUCKY,Rameses B,2:25,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSuDYFMZAe-JNhAkrNdMFw2XYeIqcj1m3jAA&s
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/593/morning-drift-1703552453-gnAI12OX2N.mp3,Morning Drift,Rameses B,3:55,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRxGJlvaeEohYLNGeNQgBGISxavpNT9YQjVXw&s
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/728/1721987489_Fa9ltCmQNd_01-RetroVision---Puzzle-2024-Edit-NCS-Release.mp3,Puzzle (2024 Edit),RetroVision,2:53,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQU19GeHVXAnAOPuTxhAZO9cwKf305UeYetJQ&s
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/625/burning-wish-1706835653-MAmBzfDT4e.mp3,Burning Wish,Roniit & Naeleck,2:33,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/625/1000x0/burning-wish-1706835651-GOLoVxB4sd.jpg
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/786/1728645187_ZAIsKaw6Lv_ROY-KNOX---Your-Poison.mp3,Your Poison,ROY KNOX,3:18,https://i1.sndcdn.com/artworks-hSAJR9zrbJ1oPy6B-OO8RFw-t500x500.jpg
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/792/break-my-heart-1729209661-ztNlIJxb0a.mp3,Break My Heart,sapientdream & Slushii,3:03,https://images.genius.com/a4336f01624755cc6bf95469b467c6d3.1000x1000x1.png
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/758/on-and-on-1727308858-tLh4ktBdt5.mp3,On and On,Sayfro & BAYZY,2:03,https://i1.sndcdn.com/artworks-H4et6v2nMYaC4MXj-kkuTaA-t500x500.jpg
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/666/vibe-1713830458-cw0Xa0Hago.mp3,Vibe,Spicyverse,2:59,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZo5OgAEpO8K5lqdFkmN_ALEiUr_g1xBv0NQ&s
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/785/magnetic-1728385253-LamC7QyVlv.mp3,Magnetic,springs!,2:03,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8HZwwCFhinIhU80g5ECz-Vhyi01DvKJz3xw&s
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/727/overdose-feat-david-allen-tatsunoshin-remix-1721952059-BM6edZwvyt.mp3,Overdose (feat. David Allen) (Tatsunoshin Remix),Tatsunoshin & David Allen & Andrew A & KDH,2:50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-kgKHQimZrA3idXU3ZCIJwf5cIGBn-K0HrA&s
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/720/jealous-1721088056-1L8ma7xHTU.mp3,jealous,The Trinity,2:30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSRu1HjUoenvEl3Xme82EbAHztcwk337MDwTg&s
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/736/faster-1723161657-IGbXrc4RXA.mp3,Faster,Tobu,3:13,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/736/1000x0/faster-1723161655-zwzjLFKZKK.jpg
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/624/bussin-1706749253-28jdJXoodH.mp3,BUSSIN,TWISTED,1:26,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/624/1000x0/bussin-1706749252-9cxH9hHRxn.jpg
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/732/time-is-eating-1722470458-xkh4Zv9NC2.mp3,Time Is Eating,Unlike Pluto,3:04,https://i1.sndcdn.com/artworks-RNxzl5UzjLOsJdz9-gIKoFg-t1080x1080.jpg
https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/722/rally-up-1721347256-42ulyBL9wj.mp3,Rally Up!,XI$OW & Grioten,1:33,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ3FHQDwLweQqJiRb2iFS_mdSb1QX8cFLS1Sw&s
